Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,40,9/25/2016,10/1/2016,4585,101
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,39,9/18/2016,9/24/2016,21336,515
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,5,1/24/2016,1/30/2016,60767,1455
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,23,5/29/2016,6/4/2016,12094,279
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,24,6/5/2016,6/11/2016,1141,26
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,1,1/1/2016,1/2/2016,34788,2374
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,37,9/4/2016,9/10/2016,5316,98
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,1,1/1/2016,1/2/2016,2656,215
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,28,7/3/2016,7/9/2016,10853,275
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,45,10/30/2016,11/5/2016,22929,511
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,25,6/12/2016,6/18/2016,4069,83
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,12,3/13/2016,3/19/2016,1162,33
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,38,9/11/2016,9/17/2016,5128,98
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,19,5/1/2016,5/7/2016,8727,178
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,20,5/8/2016,5/14/2016,11504,263
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,50,12/4/2016,12/10/2016,29850,583
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,37,9/4/2016,9/10/2016,12503,551
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,14,3/27/2016,4/2/2016,2078,48
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,20,5/8/2016,5/14/2016,8558,197
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,30,7/17/2016,7/23/2016,24272,964
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,46,11/6/2016,11/12/2016,12599,253
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,39,9/18/2016,9/24/2016,11393,230
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,50,12/4/2016,12/10/2016,10191,200
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,3,1/10/2016,1/16/2016,74789,1798
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,17,4/17/2016,4/23/2016,1126,23
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,18,4/24/2016,4/30/2016,738,21
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,19,5/1/2016,5/7/2016,12557,259
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,8,2/14/2016,2/20/2016,858,19
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,25,6/12/2016,6/18/2016,130437,3026
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,34,8/14/2016,8/20/2016,17677,371
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,5,1/24/2016,1/30/2016,15225,348
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,28,7/3/2016,7/9/2016,16678,400
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,23,5/29/2016,6/4/2016,20878,487
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,4,1/17/2016,1/23/2016,11471,324
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,16,4/10/2016,4/16/2016,2549,41
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,37,9/4/2016,9/10/2016,231095,5215
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,27,6/26/2016,7/2/2016,269927,8064
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,3,1/10/2016,1/16/2016,934,19
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,6,1/31/2016,2/6/2016,4926,108
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,40,9/25/2016,10/1/2016,3614,74
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,9,2/21/2016,2/27/2016,12,2
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,3,1/10/2016,1/16/2016,514,21
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,33,8/7/2016,8/13/2016,10703,268
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,34,8/14/2016,8/20/2016,3468,68
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,32,7/31/2016,8/6/2016,26695,1098
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,7,2/7/2016,2/13/2016,70051,1523
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,10,2/28/2016,3/5/2016,66970,1693
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,34,8/14/2016,8/20/2016,2105,48
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,2,1/3/2016,1/9/2016,9807,290
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,11,3/6/2016,3/12/2016,1145,31
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,34,8/14/2016,8/20/2016,75752,1705
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,26,6/19/2016,6/25/2016,14252,330
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,21,5/15/2016,5/21/2016,76204,1837
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,9,2/21/2016,2/27/2016,17437,336
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,16,4/10/2016,4/16/2016,75790,1850
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,47,11/13/2016,11/19/2016,13517,318
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,22,5/22/2016,5/28/2016,13763,333
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,21,5/15/2016,5/21/2016,68978,1470
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,23,5/29/2016,6/4/2016,10529,262
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,7,2/7/2016,2/13/2016,1409,24
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,40,9/25/2016,10/1/2016,110797,2570
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,50,12/4/2016,12/10/2016,73511,1416
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,38,9/11/2016,9/17/2016,3530,79
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,30,7/17/2016,7/23/2016,62997,1363
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,33,8/7/2016,8/13/2016,3555,66
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,11,3/6/2016,3/12/2016,78963,1693
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,38,9/11/2016,9/17/2016,131541,3035
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,12,3/13/2016,3/19/2016,49822,1111
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,45,10/30/2016,11/5/2016,7719,151
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,37,9/4/2016,9/10/2016,21816,470
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,49,11/27/2016,12/3/2016,11573,257
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,36,8/28/2016,9/3/2016,51529,1341
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,19,5/1/2016,5/7/2016,3248,61
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,9,2/21/2016,2/27/2016,1252,23
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,48,11/20/2016,11/26/2016,72137,1674
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,45,10/30/2016,11/5/2016,21492,450
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,2,1/3/2016,1/9/2016,869,18
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,8,2/14/2016,2/20/2016,13746,312
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,46,11/6/2016,11/12/2016,54063,1303
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,50,12/4/2016,12/10/2016,23499,455
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,6,1/31/2016,2/6/2016,303261,8146
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,39,9/18/2016,9/24/2016,110501,2439
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,29,7/10/2016,7/16/2016,3633,77
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,32,7/31/2016,8/6/2016,59308,1449
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,38,9/11/2016,9/17/2016,77210,3113
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,52,12/18/2016,12/24/2016,201684,4667
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,26,6/19/2016,6/25/2016,3634,78
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,35,8/21/2016,8/27/2016,46992,2307
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,35,8/21/2016,8/27/2016,1704,46
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,2,1/3/2016,1/9/2016,218488,6087
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,5,1/24/2016,1/30/2016,16123,729
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,35,8/21/2016,8/27/2016,4024,89
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,36,8/28/2016,9/3/2016,99349,2419
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,10,2/28/2016,3/5/2016,48510,1139
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,37,9/4/2016,9/10/2016,11850,282
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,53,12/25/2016,12/31/2016,52477,2119
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,4,1/17/2016,1/23/2016,19590,511
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,31,7/24/2016,7/30/2016,10863,261
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,39,9/18/2016,9/24/2016,101019,2336
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,49,11/27/2016,12/3/2016,116342,2562
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,1,1/1/2016,1/2/2016,606,45
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,36,8/28/2016,9/3/2016,50163,1372
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,13,3/20/2016,3/26/2016,2020,34
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,3,1/10/2016,1/16/2016,3223,71
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,5,1/24/2016,1/30/2016,301005,8039
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,32,7/31/2016,8/6/2016,5521,116
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,4,1/17/2016,1/23/2016,15888,735
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,48,11/20/2016,11/26/2016,14680,310
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,36,8/28/2016,9/3/2016,295165,8496
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,29,7/10/2016,7/16/2016,10068,246
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,12,3/13/2016,3/19/2016,2266,37
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,31,7/24/2016,7/30/2016,1855,48
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,53,12/25/2016,12/31/2016,13485,331
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,28,7/3/2016,7/9/2016,10045,523
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,13,3/20/2016,3/26/2016,3431,68
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,18,4/24/2016,4/30/2016,6670,207
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,53,12/25/2016,12/31/2016,60191,1614
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,12,3/13/2016,3/19/2016,850,23
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,23,5/29/2016,6/4/2016,10484,268
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,44,10/23/2016,10/29/2016,21652,433
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,27,6/26/2016,7/2/2016,1867,51
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,1,1/1/2016,1/2/2016,2315,178
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,48,11/20/2016,11/26/2016,300209,8382
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,32,7/31/2016,8/6/2016,114179,2369
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,14,3/27/2016,4/2/2016,74643,1786
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,25,6/12/2016,6/18/2016,12038,296
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,33,8/7/2016,8/13/2016,1928,40
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,9,2/21/2016,2/27/2016,835,21
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,11,3/6/2016,3/12/2016,1515,32
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,53,12/25/2016,12/31/2016,11134,318
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,24,6/5/2016,6/11/2016,1281,30
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,35,8/21/2016,8/27/2016,208097,5014
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,20,5/8/2016,5/14/2016,75836,1856
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,44,10/23/2016,10/29/2016,2485,53
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,1,1/1/2016,1/2/2016,21596,1488
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,18,4/24/2016,4/30/2016,1695,43
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,48,11/20/2016,11/26/2016,7118,126
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,36,8/28/2016,9/3/2016,2071,46
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,3,1/10/2016,1/16/2016,14438,357
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,31,7/24/2016,7/30/2016,18750,416
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,21,5/15/2016,5/21/2016,1208,30
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,6,1/31/2016,2/6/2016,81768,1824
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,4,1/17/2016,1/23/2016,516,20
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,29,7/10/2016,7/16/2016,83776,1722
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,51,12/11/2016,12/17/2016,30380,501
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,51,12/11/2016,12/17/2016,131266,2519
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,13,3/20/2016,3/26/2016,122850,2514
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,48,11/20/2016,11/26/2016,15211,352
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,43,10/16/2016,10/22/2016,59445,1349
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,12,3/13/2016,3/19/2016,308648,7529
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,18,4/24/2016,4/30/2016,8656,178
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,16,4/10/2016,4/16/2016,16242,701
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,37,9/4/2016,9/10/2016,87957,3240
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,45,10/30/2016,11/5/2016,80314,1765
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,4,1/17/2016,1/23/2016,14133,350
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,11,3/6/2016,3/12/2016,15803,331
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,44,10/23/2016,10/29/2016,21123,389
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,10,2/28/2016,3/5/2016,5462,109
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,48,11/20/2016,11/26/2016,16390,383
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,5,1/24/2016,1/30/2016,68194,1654
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,40,9/25/2016,10/1/2016,58246,1356
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,35,8/21/2016,8/27/2016,11521,531
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,13,3/20/2016,3/26/2016,49112,1131
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,44,10/23/2016,10/29/2016,12497,517
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,51,12/11/2016,12/17/2016,19868,385
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,11,3/6/2016,3/12/2016,54974,1236
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,28,7/3/2016,7/9/2016,13080,313
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,50,12/4/2016,12/10/2016,33065,560
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,16,4/10/2016,4/16/2016,1119,24
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,10,2/28/2016,3/5/2016,875,22
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,15,4/3/2016,4/9/2016,7469,149
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,46,11/6/2016,11/12/2016,13343,311
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,31,7/24/2016,7/30/2016,12567,276
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,6,1/31/2016,2/6/2016,810,23
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,42,10/9/2016,10/15/2016,123855,3080
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,10,2/28/2016,3/5/2016,15726,713
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,52,12/18/2016,12/24/2016,144103,3292
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,3,1/10/2016,1/16/2016,1506,37
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,36,8/28/2016,9/3/2016,3454,71
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,14,3/27/2016,4/2/2016,15523,334
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,17,4/17/2016,4/23/2016,14520,674
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,19,5/1/2016,5/7/2016,12464,275
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,47,11/13/2016,11/19/2016,5712,119
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,49,11/27/2016,12/3/2016,25516,518
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,8,2/14/2016,2/20/2016,1373,22
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,14,3/27/2016,4/2/2016,48395,1133
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,34,8/14/2016,8/20/2016,7634,144
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,24,6/5/2016,6/11/2016,121388,2468
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,8,2/14/2016,2/20/2016,333227,7784
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,30,7/17/2016,7/23/2016,3348,61
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,42,10/9/2016,10/15/2016,16375,404
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,7,2/7/2016,2/13/2016,31478,663
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,23,5/29/2016,6/4/2016,2879,67
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,13,3/20/2016,3/26/2016,1661,30
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,8,2/14/2016,2/20/2016,68571,1521
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,3,1/10/2016,1/16/2016,588,15
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,41,10/2/2016,10/8/2016,221213,5325
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,9,2/21/2016,2/27/2016,1769,35
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,39,9/18/2016,9/24/2016,4934,95
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,32,7/31/2016,8/6/2016,3799,66
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,18,4/24/2016,4/30/2016,1077,30
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,39,9/18/2016,9/24/2016,17007,406
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,37,9/4/2016,9/10/2016,58336,1388
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,48,11/20/2016,11/26/2016,24522,581
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,48,11/20/2016,11/26/2016,55050,1329
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,41,10/2/2016,10/8/2016,16977,405
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,45,10/30/2016,11/5/2016,9986,216
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,33,8/7/2016,8/13/2016,11125,280
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,8,2/14/2016,2/20/2016,9621,229
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,36,8/28/2016,9/3/2016,9967,264
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,2,1/3/2016,1/9/2016,66455,1789
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,48,11/20/2016,11/26/2016,53846,1122
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,11,3/6/2016,3/12/2016,11537,289
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,22,5/22/2016,5/28/2016,9039,221
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,30,7/17/2016,7/23/2016,63956,1472
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,33,8/7/2016,8/13/2016,133388,3011
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,9,2/21/2016,2/27/2016,16680,718
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,29,7/10/2016,7/16/2016,2079,43
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,1,1/1/2016,1/2/2016,271,16
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,21,5/15/2016,5/21/2016,52522,1132
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,3,1/10/2016,1/16/2016,11683,318
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,26,6/19/2016,6/25/2016,299862,7602
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,41,10/2/2016,10/8/2016,55080,1345
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,45,10/30/2016,11/5/2016,58548,2342
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,12,3/13/2016,3/19/2016,28,3
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,30,7/17/2016,7/23/2016,124766,2406
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,41,10/2/2016,10/8/2016,65864,2698
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,31,7/24/2016,7/30/2016,4675,103
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,39,9/18/2016,9/24/2016,107383,2599
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,20,5/8/2016,5/14/2016,2968,61
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,40,9/25/2016,10/1/2016,301436,8096
