Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,6,1/31/2016,2/6/2016,4653,125
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,47,11/13/2016,11/19/2016,12443,295
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,32,7/31/2016,8/6/2016,6207,122
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,13,3/20/2016,3/26/2016,16517,345
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,25,6/12/2016,6/18/2016,11132,270
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,29,7/10/2016,7/16/2016,16772,367
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,1,1/1/2016,1/2/2016,294,24
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,8,2/14/2016,2/20/2016,52354,1106
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,5,1/24/2016,1/30/2016,125266,2762
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,4,1/17/2016,1/23/2016,276642,8170
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2016,9,2/21/2016,2/27/2016,3401,60
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,38,9/11/2016,9/17/2016,13214,553
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,16,4/10/2016,4/16/2016,7233,197
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,28,7/3/2016,7/9/2016,3845,79
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,4,1/17/2016,1/23/2016,38083,980
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,33,8/7/2016,8/13/2016,3466,62
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,40,9/25/2016,10/1/2016,22086,499
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,33,8/7/2016,8/13/2016,26253,598
